（一東）粗成四字,（一東）誨爾童蒙
（下卷十一 尤）公藝百忍,（下卷十一 尤）孫昉四休
（下卷十一 尤）錢塘驛邸,（下卷十一 尤）燕子樓頭
（下卷十二 侵）蘇耽桔井,（下卷十二 侵）董奉杏林
（下卷十二 侵）漢宣續令,（下卷十二 侵）夏禹惜陰
（下卷十二 侵）蒙恬造筆,（下卷十二 侵）太昊製琴
（下卷十二 侵）敬微謝饋,（下卷十二 侵）明善辭金
（下卷十二 侵）睢陽嚼齒,（下卷十二 侵）金藏披心
（下卷十二 侵）固言柳汁,（下卷十二 侵）玄德桑陰
（下卷十二 侵）姜桂敦復,（下卷十二 侵）松柏世林
（下卷十二 侵）杜預傳癖,（下卷十二 侵）劉峻書淫
（下卷十二 侵）鍾會竊劍,（下卷十二 侵）不疑盜金
（下卷十二 侵）桓伊弄笛,（下卷十二 侵）子昂碎琴
（下卷十二 侵）琴張禮意,（下卷十二 侵）蘇軾文心
（下卷十二 侵）公權隱諫,（下卷十二 侵）蘊古詳箴
（下卷十二 侵）廣平作賦,（下卷十二 侵）何遜行吟
（下卷十二 侵）荊山泣玉,（下卷十二 侵）夢穴唾金
（下卷十二 侵）孟嘉落帽,（下卷十二 侵）宋玉披襟
（下卷十二 侵）沫經三敗,（下卷十二 侵）獲被七擒
（下卷十二 侵）易牙調味,（下卷十二 侵）鍾子聆音
（下卷十二 侵）令狐冰語,（下卷十二 侵）司馬琴心
（下卷十二 侵）滅明毀壁,（下卷十二 侵）龐蘊投金
（下卷十二 侵）左思三賦,（下卷十二 侵）程頤四箴
（下卷十三 覃）陶母截發,（下卷十三 覃）姜後脫簪
（下卷十三 覃）達摩面壁,（下卷十三 覃）彌勒同龕
（下卷十三 覃）龍逄極諫,（下卷十三 覃）王衍清談
（下卷十三 覃）青威漠北,（下卷十三 覃）彬下江南
（下卷十三 覃）遐福郭令,（下卷十三 覃）上壽童參
（下卷十三 覃）郗愔啟篋,（下卷十三 覃）殷羨投函
（下卷十三 覃）禹偁敏贍,（下卷十三 覃）魯直沉酣
（下卷十三 覃）師徒布算,（下卷十三 覃）姑婦手談
（下卷十四 鹽）風儀李揆,（下卷十四 鹽）骨相呂岩
（下卷十四 鹽）魏牟尺縰,（下卷十四 鹽）裴度千縑
（下卷十四 鹽）孺子磨鏡,（下卷十四 鹽）麟士織簾
（下卷十四 鹽）華歆逃難,（下卷十四 鹽）叔子避嫌
（下卷十四 鹽）盜知李涉,（下卷十四 鹽）虜懼仲淹
（下卷十四 鹽）尾生豈信,（下卷十四 鹽）仲子非廉
（下卷十四 鹽）由餐藜藿,（下卷十四 鹽）鬲販魚鹽
（下卷十四 鹽）五湖範蠡,（下卷十四 鹽）三徑陶潛
（下卷十四 鹽）徐邈通介,（下卷十四 鹽）崔郾寬嚴
（下卷十四 鹽）易操守劍,（下卷十四 鹽）歸罪遺縑
（下卷十五 鹹）深情子野,（下卷十五 鹹）神識阮鹹
（下卷十五 鹹）公孫白紵,（下卷十五 鹹）司馬青衫
（下卷十五 鹹）狄梁被譖,（下卷十五 鹹）楊億蒙讒
（下卷十五 鹹）布重一諾,（下卷十五 鹹）金慎三緘
（下卷十五 鹹）彥升非少,（下卷十五 鹹）仲舉不凡
（下卷十五 鹹）古人萬億,（下卷十五 鹹）不盡茲函
