"Ottawa Daito-ryu Aikijujutsu Study Group, Canada",daito-ryu.ca,North America,Canada,,Tokimune,Toma Radev,"333 Boulevard de la Cité des Jeunes
Gatineau, QC J8Z 2M3, Canada
CEGEP de l'Outaouais, Judo Room",,(613) 725-3451,
"Oud Beijerland Daito-ryu Aikijujutsu Study Group, Holland",https://www.facebook.com/Daito-Ryu-Aikijujutsu-Zuid-Hollandse-Eilanden-1682273092068205,Europe,Netherlands,,Tokimune,Peter Hartung,"Building of Budo Hans Roos, Burgemeester Diepenhorstsingel 4, 3261 ED Oud Beijerland",,31637422095,
Owari Keikokai,,Asia,Japan,Aichi,Roppokai,Mayumi Akumizu,,,,
Pennsylvania—Southeastern PA,,North America,United States,Pennsylvania,Kodokai,,,,,
Popkin Brogna Jujitsu Center,http://www.popkinbrognaselfdefense.com,North America,United States,New York,Roppokai,Sensei Brogna and Sensei Popkin,"219 Hempstead Turnpike, West Hempstead, NY 11552",,516-489-1278,"popkinbrogna@yahoo.com

"
Popkin Brogna Jujitsu Center,https://www.popkinbrognaselfdefense.com/,North America,United States,New York,,,"219 Hempstead Turnpike, West Hempstead, NY 11552",,516-489-1278,popkinbrogna@yahoo.com
"Reggio Emilia Daito-ryu Aikijujutsu Branch, Italy",,Europe,Italy,,Tokimune,Luca Canovi,"via Monari, 21, Reggio nell'Emilia 42100",,39 0522 556297,luca.canovi@shodan.it
Roppokai Ashikaga branch,http://www.roppokai-tokyo.com/,Asia,Japan,Tochigi,Roppokai,"
Tetsuya Kanaya","738-6 Omatachō, Ashikaga-shi, Tochigi-ken 326-0141, Japan",,,roppokai_ashikaga@yahoo.co.jp
Roppokai California branch,http://www.roppokai-tokyo.com/branches.html,North America,United States,California,Roppokai,Shawn Douglass,"43200 Christy St
Fremont, CA 94538
b/t Auto Mall Pky & Albrae St",,(650) 245-3744,info@roppokai.org
Roppokai Denmark branch,http://www.roppokai-tokyo.com/,Europe,Denmark,,Roppokai,Henrik Johann Furstenberg,Conpenhagen,,,henrik.furstenberg@hotmail.com
Roppokai Hombu,http://www.roppokai-tokyo.com/,Asia,Japan,Tokyo,Roppokai,Roppokai hombu secretariat,,,,roppokaibox@gmail.com
Roppokai Nagoya branch,https://www63.atwiki.jp/6aiti/pages/4.html,Asia,Japan,Nagoya,Roppokai,"
Hideki Ota","2 Chome-4 Yashirodai, Meitō-ku, Nagoya-shi, Aichi-ken 465-0092, Japan",,090-8072-9018　　052-776-4777,tao_215@yahoo.co.jp
Roppokai Oregon branch,"
http://oregondaitoryuaikijujitsuroppokai.blogspot.com/",North America,United States,Oregon,Roppokai,Desmond Harpster,Steeles Karate at 860 High St. NE Salem Oregon.  97301,,503 989-2371,oregonroppokai@live.com
Roppokai Osaka branch,,Asia,Japan,Osaka,Roppokai,Katsuya Samejima,,,090-5367-7163,roppoosaka@gmail.com
Roppokai Sapporo branch,http://www.roppokai-tokyo.com/,Asia,Japan,Hokkaido,Roppokai,Hiroki Tomizawa,,,090-1646-1395,k.tommy-8957@nifty.com
Roppokai Shonan Branch Chigasaki Dojo,http://www.geocities.jp/roppokai_shonan/liu_fang_hui_xiang_nan_zhi_bu/liu_fang_hui_xiang_nan_zhi_bu.html,Asia,Japan,Kanagawa,Roppokai,Hajime Wada,"1-9-63, Chigasaki, Chigasaki-shi, Chigasaki-shi general gymnasium judo ground",,0467-82-7175 fax:0467-82-3228,h-wada3588@outlook.jp
Roppokai Shonan Branch Yokohama Dojo,http://www.geocities.jp/roppokai_shonan/liu_fang_hui_xiang_nan_zhi_bu/liu_fang_hui_xiang_nan_zhi_bu.html,Asia,Japan,Kanagawa,Roppokai,Hajime Wada,Yokohama City Kanagawa Junior High School CH Training Room,,045-421-5993,h-wada3588@outlook.jp
Roppokai Spain branch,http://www.roppokai-tokyo.com/,Europe,Spain,,Roppokai,Diego Lopez Garcia,"Bujin Ninpo Kan, C/ Torres Quevedo 29, Sevilla 41016",,954404377-629168469 ,diegolopez@us.es
Roppokai Sweden branch,http://www.roppokai-tokyo.com/,Europe,Sweden,,Roppokai,Samuel Billas,Stockholm,,,samuelbillas@gmail.com
Roppokai Texas branch,http://www.roppokai-tokyo.com/,North America,United States,Texas,Roppokai,Jose E. Lopez,,,,unagi69@yahoo.com
"Rotterdam Daito-ryu Aikijujutsu, Holland",www.daito-ryu.nl,Europe,Netherlands,,Tokimune,Anton Barendregt,"Wijkcentrum Xiejezo, Grote Beerstraat 10, 3331 TB Zwijndrecht.",,,
Sagawa-den Daito-ryu Aikibujutsu Sagamihara branch dojo,http://webhiden.jp/guide/detail/dojyo654.php,Asia,Japan,Kanagawa,Sagawa,Ken Takahashi,"5 Chome-12-1 Kamimizo, Chūō-ku, Sagamihara-shi, Kanagawa-ken 252-0243, Japan",,,
Sakura Dojo L'Aquila City,http://www.sakuradojo-aq.com/  ,Europe,Italy,,Tokimune,Roberto Bucci,scuola di danza MUD sita in via Ulisse Nurzia n.2 località Boschetto di Pile (L'Aquila),,,jumaurosan@yahoo.it maurofattore@libero.it 
San Gabriel Study Group,http://www.uskodokai.org/branches/,North America,United States,California,Kodokai,,,,,info@nichigetsukai.org
Santa Rosa Shibu dojo,http://www.uskodokai.org/branches/,North America,United States,California,Kodokai,,,,,
Sapporo Daito-ryu Aikijyujyutsu Branch,http://daitoryu-sap.jimdo.com/,Asia,Japan,Hokkaido,Tokimune,Watanabe Kazuto,"1 Chome-2-46 Akebono 2 Jo, Teine Ward, Sapporo, Hokkaido Prefecture 006-0832",,,
Satori dojo in Chelyabinsk,http://daito-ryu.su/,Europe,Russia,,Tokimune,Yuri Bokarev,"Chelyabinsk ,  ul. Lesoparkovaya, 6A SC ""Flight"".",,7 (919) 402- 64- 32,
Satorikan dojo,http://daito-ryu.su/,Europe,Russia,,Tokimune,Vladimir Makarov,"Moscow , metro Smolenskaya, Shubinsky per., 6, in the building of the printing house ""Science""",,7 925 5068565,makwlad@yandex.ru
Shingiseieikan,http://shingiseieikan.web.fc2.com/index.html,Asia,Japan,Tokyo,Kodokai,"
Makita Shūta",〒174-0065　東京都板橋区若木3丁目10-1,,03-5809-1234,http://form1.fc2.com/form/?id=700396
Shintujushinkai Hombu Dojo,http://aiki.jp/nagao/,Asia,Japan,Hokkaido,Yamamoto Kakuyoshi ha,Susumu Nagao,"2 Chome-1-18 Yamatechō, Tomakomai-shi, Hokkaidō 053-0851, Japan",,,
Shizuoka Branch,,Asia,Japan,Shizuoka,Tokimune,Amano Shizuo,"21-21 Nishizoe-cho, Numazu, Shizuoka-ken, Japan.",,0559-68-0699,
Shouyoukan Fukuoka Dojo,http://yamatobugei.com/shouyou.html,Asia,Japan,Fukuoka,,,,,81 80-6418-2864,https://www.facebook.com/daitoryu.shouyoukan
Shouyoukan Gokoku Dojo,http://yamatobugei.com/shouyou.html,Asia,Japan,Fukuoka,,,,,83 80-6418-2864,https://www.facebook.com/daitoryu.shouyoukan
Shouyoukan Itoshima Dojo,http://yamatobugei.com/shouyou.html,Asia,Japan,Fukuoka,,,,,82 80-6418-2864,https://www.facebook.com/daitoryu.shouyoukan
Southern California Shibu dojo,http://www.uskodokai.org/branches/,North America,United States,California,Kodokai,,,,,socalkodokai@yahoo.com
Sparta dojo in Taganrog,http://daito-ryu.su/,Europe,Russia,,Tokimune,Igor Khlopkov,"Rostov Region,  Taganrog , Solodukhin St. 85 ""A"".",,8 (928) 270-52-93.,sparta_sf@mail.ru
Suehiro Dojo,http://aiki.jp/nagao/chiba/c-dojo.html,Asia,Japan,Chiba,Yamamoto Kakuyoshi ha,Ishikawa Tomohiro,"2 Chome-11-24 Suehiro, Chuo, Chiba, Chiba Prefecture 260-0843, Japan",,80 43-261-1511,
Suehiro Dojo Kobujutsu Kenkyukai Kokoro Juku,http://aiki.jp/nagao/chiba/c-dojo.html,Asia,Japan,Chiba,Yamamoto Kakuyoshi ha,Ishikawa Tomohiro,"2 Chome-11-24 Suehiro, Chuo, Chiba, Chiba Prefecture 260-0843, Japan",,81 43-261-1511,
Sydney Daito-ryu Aikijujutsu study group,www.daitoryu.com.au,Oceania,Australia,,Tokimune,Rachael Crompton,"Uniting Church Hall, 12 Charles Street, Castlecrag.",,0418 282 171,dojo@daitoryu.com.au
TAICHUNG DAITORYU KYOKUDEN DOJO,http://daitoryu-tw.com/,Asia,Taiwan,,Sagawa,,,,933746246,tw.daitoryu@gmail.com
TAIPEI DAITORYU KYOKUDEN DOJO,http://daitoryu-tw.com/,Asia,Taiwan,,Sagawa,,,,0928-178727,tw.daitoryu@gmail.com
Takeda Sokaku dojo,https://sites.google.com/site/sokakutakedadojoen/home,Europe,Czech Republic,,Tokimune,Krzysztof Kulakowski,"Křižíkova 52/48, 186 00 Praha 8-Karlín, Czechia",,420 737 456272,contact.daitoryu@gmail.com
Tenshinkan dojo,,Europe,Russia,,Tokimune,Alexander Mirskov,,,7 918 5125900,tensin73@mail.ru
The Hong Kong Daito-ryu Aikijujutsu Association,http://www.daito-ryu.hk/en/,Asia,Hong Kong (China),,Tokimune,Dermot Creagh,"5/F - U6/F, Pei Ho Street Municipal Services Building, 333 Ki Lung Street, Sham Shui Po, Kowloon",,,
The Martial Arts Studio,http://www.martialartspa.com/daito-ryu.html,North America,United States,Pennsylvania,Kodokai,La France,"14 N. Village Ave. Exton, PA 19341",,(610) 280-0873 ,masdojo@gmail.com
Three Streams Aikibudo dojo,http://www.threestreamsaikido.com/index.html,North America,United States,Ohio,Tokimune,Vladimir Soroka,"9076 Church Street,Twinsburg, Ohio 44087, United States",,1 216 4020839,info@ThreeStreamsAikido.com
Tôgenkan dojo in Bangkok,,Asia,Thailand,,Tokimune,Andrew Thoburn,,,,thoburnandrew@gmail.com
Toho Branch,,Asia,Japan,Tokyo,Tokimune,Oguchi Takehiro,"Toho Co., Ltd., 1-2-1 Yuraku-cho, Chiyoda-ku, Tokyo, Japan.",,03-3696-0386  03-3696-0242,
Torino study group,,Europe,Italy,,Tokimune,,"via Garian 43/A Milan, Italy",,334 86 89 374,daitoryu@mail.com
Trapani study group,,Europe,Italy,,Tokimune,,"via Francesco de Stefano, 17",,340 68 50 465,fesil@live.it
Wakimachi Culture Center,https://www.daito-ryu-wakimachi.jp/,Asia,Japan,Tokushima,Nakatsu Heizaburo,"
Masahito Onishi","Tokushima Prefecture, Mima-cho, Wakimachi Haibara 1076-4 JAPAN",,81 (0)80-4342-8183,info@daito-ryu-wakimachi.jp
West Fukuoka branch,,Asia,Japan,Fukuoka,Kodokai,Ko Tahara Kōsaku,福岡市西区泉３丁目８－１９,,090-9657-9282,
Yamaguchi branch,https://houfuaikikenkyukai.webnode.jp/,Asia,Japan,Yamaguchi,Kodokai,Chikuya Maruzumi,"防府市スポーツセンター武道館, 山口県防府市大字浜方174番地の1",,090-9069-0324,kamaru@c-able.ne.jp
Yamamoto Kakusei ha Daito-ryu-aikijujutsu Mugenshinto-ryu Iaijutsu Shintojushinkai Seishinkan,http://sky.geocities.jp/tokoman7/,Asia,Japan,Shizuoka,Yamamoto Kakuyoshi ha,Shiho Hiraoka,"13-19 Umedachō, Shimizu-ku, Shizuoka-shi, Shizuoka-ken 424-0948, Japan",,090-4252-5140 fax:054-352-2388,
Yushinkan Dojo,http://www.doaikido.com/,North America,United States,Michigan,Kodokai,Roy Goldberg,"141 28th Street SE Suite #2, Grand Rapids, MI 49548",,616-929-0028,
Yushinkan NYC,http://yushinkan.org/,North America,United States,New York,Takumakai,,"316 Dean Street, Brooklyn NY 11217",,,
Yuuko Dojo,http://aiki.jp/nagao/chiba/c-dojo.html,Asia,Japan,Chiba,Yamamoto Kakuyoshi ha,Ishikawa Tomohiro,"4 Chome-8-3 Yūkō, Chūō-ku, Chiba-shi, Chiba-ken 260-0007, Japan ",,81 43-221-6556,
Zero Distance dojo in Novara,http://www.jujitsunovara.altervista.org/index.html,Europe,Italy,,Tokimune,Marco Gini,"Gymnasium Academy SSD, Via Biroli, 4 - Novara",,39 329 69 50 882,jujitsu.info@gmail.com
"Zoetermeer Daito-ryu Aikijujutsu, Holland",www.budoryukatsu.nl,Europe,Netherlands,,Tokimune,Niels van Willigen,"Budo Ryu Katsu, Stadhoudersring 5, 2713 GA, Zoetermeer",,,
,,,,,,,,,,
,http://roppokai.ru/news/index.htm,Europe,Russia,,Roppokai,ILya Kryzhanovsky,Liteiny pr. 11 (metro Chernyshevskaya),,7 921 742-86-38,roppokai@yandex.ru
,https://daito-ryu.info/,Europe,Russia,,Tokimune,Platonov Andrei Alexandrovich ,"Moscow , metro Preobrazhenskaya ploshchad, ul. Stromynka, 13a, building. 1, entrance from the end of the building",,7-495-480-60-12 ,daito@daito-ryu-aikijujutsu.ru 
,,Oceania,New Zealand,,,,,,,
